rounded_result,operand1,operand2,total_occurrences
-0.7238344,-0.0079901,0.0057835,9
0.7478992,0.0042934,0.0057406,9
0.6778712,0.0038803,0.0057242,9
-0.7992979,-0.0045132,0.0056464,9
0.6253502,0.0035305,0.0056456,9
-0.9678431,-0.0057039,0.0055205,9
-0.7064052,-0.0038795,0.0054918,9
-0.9329847,-0.0057039,0.0053217,9
-0.9155555,-0.0057039,0.0052223,9
-1.1931673,-0.0061632,0.0051654,9
-0.7586928,-0.0038990,0.0051392,9
-1.1931673,-0.0060347,0.0050577,9
-1.1931673,-0.0058992,0.0049441,9
-1.1931673,-0.0041431,0.0049434,9
-1.1931673,-0.0056427,0.0047292,9
-0.6715468,-0.0067923,0.0045614,9
-0.7586928,-0.0059269,0.0044967,9
-0.7586928,-0.0033690,0.0044405,9
-0.7586928,-0.0056913,0.0043180,9
-1.1931673,-0.0036073,0.0043041,9
-1.1760426,-0.0036573,0.0043011,9
-0.6889759,-0.0062339,0.0042950,9
-1.1931673,-0.0051121,0.0042845,9
-0.7586928,-0.0055648,0.0042219,9
-0.7935512,-0.0033331,0.0042002,9
-1.1931673,-0.0035167,0.0041960,9
-1.2274169,-0.0033923,0.0041638,9
-0.7761220,-0.0052836,0.0041007,9
-0.7586928,-0.0053759,0.0040786,9
-1.1931673,-0.0033923,0.0040476,9
-0.7586928,-0.0052915,0.0040146,9
-0.9155555,-0.0036699,0.0040084,9
-0.9678431,-0.0038795,0.0040084,9
-0.8806971,-0.0034820,0.0039537,9
0.5553222,0.0021937,0.0039502,9
-0.8806971,-0.0034391,0.0039050,9
-0.9155555,-0.0041807,0.0038277,9
-0.6541175,-0.0024921,0.0038099,9
-0.8458387,-0.0031806,0.0037603,9
-0.6965494,-0.0024512,0.0035191,9
-1.1589178,-0.0030193,0.0034991,9
0.6078432,0.0020811,0.0034238,9
0.2577032,0.0008823,0.0034238,9
-0.7412636,-0.0046022,0.0034115,9
-1.1760426,-0.0028905,0.0033994,9
-0.7586928,-0.0044423,0.0033704,9
-0.7650484,-0.0042401,0.0032439,9
-0.7650484,-0.0024353,0.0031833,9
-0.7238344,-0.0022730,0.0031402,9
-0.8109804,-0.0025467,0.0031402,9
-0.6965494,-0.0045071,0.0031394,9
-0.8458387,-0.0035205,0.0029778,9
-0.7307989,-0.0021095,0.0028866,9
-0.8109804,-0.0035528,0.0028813,9
-0.7586928,-0.0036749,0.0027881,9
-0.7650484,-0.0035167,0.0026904,9
-0.6541175,-0.0040716,0.0026633,9
-0.7586928,-0.0033867,0.0025694,9
-0.6889759,-0.0035205,0.0024255,9
-0.8458387,-0.0020304,0.0024005,9
0.5553222,0.0013227,0.0023819,9
-0.9329847,-0.0022092,0.0020612,9
-0.7238344,-0.0028230,0.0020434,9
-1.1931673,-0.0024026,0.0020136,9
0.5553222,0.0010927,0.0019676,9
-0.8458387,-0.0023123,0.0019558,9
0.6778712,0.0013113,0.0019345,9
-0.7586928,-0.0025029,0.0018989,9
-1.1931673,-0.0015283,0.0018235,9
-0.7586928,-0.0013800,0.0018189,9
-0.6889759,-0.0025924,0.0017861,9
-0.7650484,-0.0013033,0.0017035,9
-0.7064052,-0.0023818,0.0016825,9
-0.6889759,-0.0024416,0.0016822,9
-1.1931673,-0.0014000,0.0016704,9
-0.7064052,-0.0023123,0.0016334,9
-0.7586928,-0.0011944,0.0015742,9
-0.6541175,-0.0023831,0.0015588,9
-0.6715468,-0.0022480,0.0015096,9
0.5553222,0.0008362,0.0015058,9
0.5553222,0.0008080,0.0014551,9
-0.7935512,-0.0018120,0.0014380,9
0.6603642,0.0008666,0.0013123,9
-0.6541175,-0.0018120,0.0011853,9
-0.7064052,-0.0016204,0.0011447,9
-0.9329847,-0.0010979,0.0010243,9
-0.7238344,-0.0013860,0.0010032,9
-0.6541175,-0.0015314,0.0010017,9
-0.6889759,-0.0014521,0.0010005,9
-0.7064052,-0.0013957,0.0009860,9
-0.7650484,-0.0007535,0.0009849,9
-0.8632680,-0.0008354,0.0009677,9
-0.8109804,-0.0007848,0.0009677,9
-0.9155555,-0.0008860,0.0009677,9
-0.8109804,-0.0007745,0.0009550,9
-0.8109804,-0.0007451,0.0009188,9
-1.1931673,-0.0007431,0.0008867,9
0.8004202,0.0006990,0.0008732,9
-0.9329847,-0.0008057,0.0008635,9
-0.8109804,-0.0007003,0.0008635,9
-0.8458387,-0.0009896,0.0008371,9
-1.1931673,-0.0006924,0.0008262,9
-0.6715468,-0.0011868,0.0007970,9
-0.7064052,-0.0011188,0.0007903,9
0.6253502,0.0004824,0.0007714,9
-0.7412636,-0.0009993,0.0007408,9
-0.7935512,-0.0009189,0.0007292,9
0.5553222,0.0003985,0.0007176,9
-1.1931673,-0.0008225,0.0006893,9
-0.8806971,-0.0005923,0.0006725,9
-0.9155555,-0.0006905,0.0006322,9
-0.7586928,-0.0007984,0.0006058,9
-0.6889759,-0.0004147,0.0006020,9
0.8004202,0.0004809,0.0006009,9
-1.1931673,-0.0005018,0.0005987,9
0.7478992,0.0004183,0.0005593,9
-0.7761220,-0.0004322,0.0005569,9
-0.7935512,-0.0006905,0.0005479,9
-0.7586928,-0.0007028,0.0005332,9
-1.1931673,-0.0004377,0.0005222,9
-0.6889759,-0.0007245,0.0004992,9
-0.7064052,-0.0003305,0.0004678,9
-0.7935512,-0.0003652,0.0004602,9
-0.6889759,-0.0006558,0.0004518,9
0.5553222,0.0002441,0.0004396,9
-0.7238344,-0.0003172,0.0004383,9
-0.9678431,-0.0004232,0.0004096,9
-0.7064052,-0.0005738,0.0004053,9
-1.1931673,-0.0004683,0.0003924,9
0.5553222,0.0002071,0.0003730,9
-1.1589178,-0.0003142,0.0003641,9
-0.9504139,-0.0003791,0.0003603,9
-0.8981263,-0.0003906,0.0003508,9
-0.7935512,-0.0004232,0.0003358,9
-0.7650484,-0.0004377,0.0003348,9
-1.1931673,-0.0003740,0.0003135,9
-0.6889759,-0.0001024,0.0001486,9
0.6778712,0.0000713,0.0001051,9
-0.7586928,-0.0000688,0.0000907,9
-0.6715468,-0.0000205,0.0000305,9
-1.1931673,-0.0000169,0.0000142,9
-1.1589178,-0.0000064,0.0000055,9
0.5553222,-0.0001530,-0.0000849,9
0.6603642,-0.0003531,-0.0002332,9
0.5553222,-0.0008543,-0.0004744,9
0.5553222,-0.0010420,-0.0005787,9
0.6253502,-0.0011705,-0.0007320,9
0.5553222,-0.0022090,-0.0012267,9
0.6253502,-0.0020444,-0.0012784,9
0.7654063,-0.0017943,-0.0013734,9
0.5553222,-0.0028165,-0.0015641,9
0.6778712,-0.0023617,-0.0016010,9
0.6778712,-0.0029956,-0.0020306,9
0.6778712,-0.0030618,-0.0020755,9
0.6778712,-0.0031204,-0.0021152,9
0.5553222,-0.0042254,-0.0023465,9
0.6778712,-0.0035693,-0.0024196,9
0.6778712,-0.0045399,-0.0030774,9
0.6778712,-0.0059433,-0.0040288,9
0.6778712,-0.0063123,-0.0042789,9
0.6778712,-0.0071800,-0.0048671,9
0.6778712,-0.0087952,-0.0059620,9
0.6778712,-0.0103648,-0.0070260,9
0.6778712,-0.0132451,-0.0089785,9
0.6603642,-0.0141976,-0.0093756,9
0.5553222,-0.0200917,-0.0111574,9
0.5553222,-0.0216179,-0.0120049,9
0.5553222,-0.0321290,-0.0178420,9
0.6778712,-0.0306585,-0.0207825,9
0.5553222,-0.0500836,-0.0278126,9
-1.2445417,-0.0924828,0.0743107,8
0.6253502,0.0375768,0.0600891,8
-1.2445417,-0.0740225,0.0594778,8
0.6253502,0.0355604,0.0568648,8
-1.1931673,-0.0647373,0.0542567,8
-0.9155555,-0.0412242,0.0450264,8
-1.1931673,-0.0369256,0.0440584,8
-1.2445417,-0.0353186,0.0439554,8
-1.1931673,-0.0518899,0.0434892,8
-1.2445417,-0.0331688,0.0412799,8
-0.7935512,-0.0314926,0.0396856,8
0.6603642,0.0259256,0.0392595,8
0.5553222,0.0213160,0.0383849,8
-1.1931673,-0.0451271,0.0378212,8
-1.1589178,-0.0429883,0.0370934,8
-1.1931673,-0.0293009,0.0349609,8
-1.0561693,-0.0359959,0.0340816,8
-1.1931673,-0.0285097,0.0340169,8
-0.6715468,-0.0494318,0.0331958,8
-1.1931673,-0.0275356,0.0328545,8
-1.1931673,-0.0271144,0.0323520,8
-1.1589178,-0.0372990,0.0321844,8
0.5553222,0.0172478,0.0310590,8
-0.8109804,-0.0247199,0.0304815,8
-0.6889759,-0.0202053,0.0293266,8
-0.8109804,-0.0355217,0.0288074,8
-1.1931673,-0.0343673,0.0288034,8
-1.1931673,-0.0335594,0.0281263,8
-1.1931673,-0.0231444,0.0276152,8
-0.7238344,-0.0194739,0.0269038,8
-0.7238344,-0.0192521,0.0265974,8
-0.8458387,-0.0224971,0.0265974,8
-1.1931673,-0.0215640,0.0257295,8
-1.1931673,-0.0299730,0.0251205,8
-0.9155555,-0.0229836,0.0251035,8
0.6253502,0.0154957,0.0247793,8
-0.9329847,-0.0221042,0.0236919,8
-1.2445417,-0.0188998,0.0235215,8
-0.7586928,-0.0308990,0.0234428,8
-0.8458387,-0.0272440,0.0230440,8
0.6603642,0.0143094,0.0216690,8
-0.7935512,-0.0272247,0.0216042,8
-1.1589178,-0.0248802,0.0214684,8
-0.6889759,-0.0145027,0.0210496,8
0.1001401,0.0020880,0.0208504,8
0.5553222,0.0115425,0.0207852,8
-0.9020464,-0.0184384,0.0204406,8
-0.7238344,-0.0147851,0.0204260,8
-1.2445417,-0.0162129,0.0201776,8
-1.1931673,-0.0164325,0.0196067,8
0.6253502,0.0121341,0.0194037,8
-1.1931673,-0.0158021,0.0188546,8
-0.9329847,-0.0174978,0.0187547,8
0.6253502,0.0115928,0.0185381,8
-0.7935512,-0.0222683,0.0176710,8
-1.1931673,-0.0203765,0.0170776,8
0.5553222,0.0092752,0.0167023,8
-0.7238344,-0.0224332,0.0162379,8
-0.8458387,-0.0191598,0.0162061,8
-1.1931673,-0.0189814,0.0159084,8
-0.8109804,-0.0128604,0.0158579,8
-0.7935512,-0.0118054,0.0148767,8
-1.1589178,-0.0127533,0.0147801,8
-0.6715468,-0.0218222,0.0146547,8
0.5553222,0.0078732,0.0141777,8
-0.6366884,-0.0221917,0.0141292,8
-0.7238344,-0.0099966,0.0138106,8
-1.1589178,-0.0119091,0.0138017,8
-0.8109804,-0.0169520,0.0137478,8
-1.2445417,-0.0170702,0.0137160,8
-0.8109804,-0.0168172,0.0136385,8
-0.6715468,-0.0202824,0.0136206,8
0.6603642,0.0089915,0.0136160,8
-0.7586928,-0.0177044,0.0134322,8
